t,n
00:00:12,1
00:05:10,1
00:10:09,1
00:15:08,1
00:20:07,1
00:25:05,1
00:30:04,1
00:35:03,1
00:40:02,1
00:45:00,1
00:49:59,1
00:54:58,1
00:59:57,1
01:04:55,1
01:09:54,1
01:14:53,1
01:19:52,1
01:24:51,1
01:29:49,1
01:34:48,1
01:39:47,1
01:44:45,1
01:49:44,1
01:54:43,1
01:59:42,1
02:04:41,1
02:09:39,1
02:14:38,1
02:19:37,1
02:24:35,1
02:29:34,1
02:34:33,1
02:39:32,1
02:44:31,1
02:49:29,1
02:54:28,1
02:59:27,1
03:04:26,1
03:09:24,1
03:14:23,1
03:19:22,1
03:24:21,1
03:29:19,1
03:34:18,1
03:39:17,1
03:44:16,1
03:49:14,1
03:54:13,1
03:59:12,1
04:04:11,1
04:09:09,1
04:14:08,1
04:19:07,1
04:24:06,1
04:29:04,1
04:34:03,1
04:39:02,1
04:44:01,1
04:48:59,1
04:53:58,1
04:58:57,1
05:03:56,1
05:08:54,1
05:13:53,1
05:18:52,1
05:23:51,1
05:28:49,1
05:33:48,1
05:38:47,1
05:43:46,1
05:48:44,1
05:53:43,1
05:58:42,1
06:03:41,1
06:08:39,1
06:13:38,1
06:18:37,1
06:23:36,1
06:28:34,1
06:33:33,1
06:38:32,1
06:43:31,1
06:48:29,1
06:53:28,1
06:58:27,1
07:03:26,1
07:08:24,1
07:13:23,1
07:18:22,1
07:23:21,1
07:28:19,1
07:33:18,1
07:38:17,1
07:43:16,1
07:48:14,1
07:53:13,1
07:58:12,1
08:03:11,1
08:08:09,1
08:13:08,1
08:18:07,1
08:23:06,1
08:28:05,1
08:33:03,1
08:38:02,1
08:43:01,1
08:47:59,1
08:52:58,1
08:57:57,1
09:02:56,1
09:07:55,1
09:12:53,1
09:17:52,1
09:22:51,1
09:27:49,1
09:32:48,1
09:37:47,1
09:42:46,1
09:47:45,1
09:52:43,1
09:57:42,1
10:02:41,1
10:07:40,1
10:12:38,1
10:17:37,1
10:22:36,1
10:27:35,1
10:32:33,1
10:37:32,1
10:42:31,1
10:47:30,1
10:52:28,1
10:57:27,1
11:02:26,1
11:07:25,1
11:12:23,1
11:17:22,1
11:22:21,1
11:27:20,1
11:32:18,1
11:37:17,1
11:42:16,1
11:47:15,1
11:52:13,1
11:57:12,1
12:02:11,1
12:07:10,1
12:12:08,1
12:17:07,1
12:22:06,1
12:27:05,1
12:32:03,1
12:37:02,1
12:42:01,1
12:47:00,1
12:51:58,1
12:56:57,1
13:01:56,1
13:06:55,1
13:11:53,1
13:16:52,1
13:21:51,1
13:26:50,1
13:31:48,1
13:36:47,1
13:41:46,1
13:46:45,1
13:51:44,1
13:56:42,1
14:01:41,1
14:06:40,1
14:11:38,1
14:16:37,1
14:21:36,1
14:26:35,1
14:31:34,1
14:36:33,1
14:41:31,1
14:46:30,1
14:51:28,1
14:56:27,1
15:01:26,1
15:06:25,1
15:11:23,1
15:16:22,1
15:21:21,1
15:26:20,1
15:31:18,1
15:36:17,1
15:41:16,1
15:46:15,1
15:51:14,1
15:56:12,1
16:01:11,1
16:06:10,1
16:11:09,1
16:16:07,1
16:21:06,1
16:26:05,1
16:31:03,1
16:36:02,1
16:41:01,1
16:46:00,1
16:50:59,1
16:55:57,1
17:00:56,1
17:10:54,1
17:15:52,1
17:20:51,1
17:25:50,1
17:30:49,1
17:35:47,1
17:40:46,1
17:45:45,1
17:50:44,1
17:55:42,1
18:00:41,1
18:05:40,1
18:10:39,1
18:15:38,1
18:20:37,1
18:25:35,1
18:30:34,1
18:35:32,1
18:45:30,1
18:50:29,1
18:55:27,1
19:00:26,1
19:05:25,1
19:10:24,1
19:15:22,1
19:20:21,1
19:25:20,1
19:30:19,1
19:35:18,1
19:40:16,1
19:45:15,1
19:50:14,1
19:55:12,1
20:00:12,1
20:05:10,1
20:10:09,1
20:15:07,1
20:20:06,1
20:25:05,1
20:30:04,1
20:35:02,1
20:40:01,1
20:45:00,1
20:49:59,1
20:54:57,1
20:59:56,1
21:04:55,1
21:09:54,1
21:14:52,1
21:19:51,1
21:24:50,1
21:29:49,1
21:34:47,1
21:39:46,1
21:44:45,1
21:49:44,1
21:54:42,1
21:59:41,1
22:04:40,1
22:09:39,1
22:14:38,1
22:19:36,1
22:24:35,1
22:29:34,1
22:34:33,1
22:39:31,1
22:44:30,1
22:49:29,1
22:54:28,1
22:59:26,1
23:04:25,1
23:09:24,1
23:14:23,1
23:19:21,1
23:24:20,1
23:29:19,1
23:34:18,1
23:39:16,1
23:44:15,1
23:49:14,1
23:54:13,1
23:59:11,1
